,ID,Label,Network,x,y,z,colors
0,1,LH_Vis_1,Visual,-32,-42,-20,#A76CD4
1,2,LH_Vis_2,Visual,-30,-32,-18,#A76CD4
2,3,LH_Vis_3,Visual,-36,-62,-16,#A76CD4
3,4,LH_Vis_4,Visual,-24,-54,-8,#A76CD4
4,5,LH_Vis_5,Visual,-24,-72,-10,#A76CD4
5,6,LH_Vis_6,Visual,-36,-82,-16,#A76CD4
6,7,LH_Vis_7,Visual,-18,-38,-12,#A76CD4
7,8,LH_Vis_8,Visual,-46,-70,-8,#A76CD4
8,9,LH_Vis_9,Visual,-16,-86,-16,#A76CD4
9,10,LH_Vis_10,Visual,-12,-62,-4,#A76CD4
10,11,LH_Vis_11,Visual,-6,-76,-6,#A76CD4
11,12,LH_Vis_12,Visual,-24,-96,-12,#A76CD4
12,13,LH_Vis_13,Visual,-14,-44,-6,#A76CD4
13,14,LH_Vis_14,Visual,-42,-86,-4,#A76CD4
14,15,LH_Vis_15,Visual,-8,-98,-8,#A76CD4
15,16,LH_Vis_16,Visual,-14,-56,2,#A76CD4
16,17,LH_Vis_17,Visual,-46,-74,6,#A76CD4
17,18,LH_Vis_18,Visual,-4,-88,2,#A76CD4
18,19,LH_Vis_19,Visual,-24,-96,6,#A76CD4
19,20,LH_Vis_20,Visual,-14,-48,4,#A76CD4
20,21,LH_Vis_21,Visual,-8,-74,10,#A76CD4
21,22,LH_Vis_22,Visual,-18,-64,6,#A76CD4
22,23,LH_Vis_23,Visual,-40,-84,14,#A76CD4
23,24,LH_Vis_24,Visual,-10,-96,18,#A76CD4
24,25,LH_Vis_25,Visual,-2,-84,24,#A76CD4
25,26,LH_Vis_26,Visual,-12,-72,20,#A76CD4
26,27,LH_Vis_27,Visual,-26,-84,22,#A76CD4
27,28,LH_Vis_28,Visual,-32,-84,26,#A76CD4
28,29,LH_Vis_29,Visual,-16,-88,34,#A76CD4
29,30,LH_Vis_30,Visual,-12,-82,36,#A76CD4
30,31,LH_Vis_31,Visual,-22,-78,44,#A76CD4
31,32,LH_SomMot_1,SomMot,-50,-10,0,#6C92D4
32,33,LH_SomMot_2,SomMot,-56,-22,8,#6C92D4
33,34,LH_SomMot_3,SomMot,-36,-24,10,#6C92D4
34,35,LH_SomMot_4,SomMot,-38,-8,12,#6C92D4
35,36,LH_SomMot_5,SomMot,-36,-26,18,#6C92D4
36,37,LH_SomMot_6,SomMot,-58,-36,16,#6C92D4
37,38,LH_SomMot_7,SomMot,-40,-36,14,#6C92D4
38,39,LH_SomMot_8,SomMot,-48,-12,14,#6C92D4
39,40,LH_SomMot_9,SomMot,-60,-2,10,#6C92D4
40,41,LH_SomMot_10,SomMot,-48,-24,18,#6C92D4
41,42,LH_SomMot_11,SomMot,-62,-18,20,#6C92D4
42,43,LH_SomMot_12,SomMot,-60,-2,24,#6C92D4
43,44,LH_SomMot_13,SomMot,-62,-10,32,#6C92D4
44,45,LH_SomMot_14,SomMot,-54,-8,30,#6C92D4
45,46,LH_SomMot_15,SomMot,-54,-20,40,#6C92D4
46,47,LH_SomMot_16,SomMot,-52,-6,44,#6C92D4
47,48,LH_SomMot_17,SomMot,-48,-16,40,#6C92D4
48,49,LH_SomMot_18,SomMot,-8,-16,48,#6C92D4
49,50,LH_SomMot_19,SomMot,-40,-14,48,#6C92D4
50,51,LH_SomMot_20,SomMot,-48,-18,54,#6C92D4
51,52,LH_SomMot_21,SomMot,-48,-30,58,#6C92D4
52,53,LH_SomMot_22,SomMot,-38,-24,52,#6C92D4
53,54,LH_SomMot_23,SomMot,-8,-38,54,#6C92D4
54,55,LH_SomMot_24,SomMot,-4,-24,56,#6C92D4
55,56,LH_SomMot_25,SomMot,-4,-8,60,#6C92D4
56,57,LH_SomMot_26,SomMot,-36,-20,64,#6C92D4
57,58,LH_SomMot_27,SomMot,-30,-46,62,#6C92D4
58,59,LH_SomMot_28,SomMot,-32,-30,62,#6C92D4
59,60,LH_SomMot_29,SomMot,-30,-38,66,#6C92D4
60,61,LH_SomMot_30,SomMot,-24,-10,64,#6C92D4
61,62,LH_SomMot_31,SomMot,-20,-24,66,#6C92D4
62,63,LH_SomMot_32,SomMot,-8,-42,70,#6C92D4
63,64,LH_SomMot_33,SomMot,-4,-26,68,#6C92D4
64,65,LH_SomMot_34,SomMot,-14,-12,72,#6C92D4
65,66,LH_SomMot_35,SomMot,-18,-32,68,#6C92D4
66,67,LH_SomMot_36,SomMot,-18,-40,72,#6C92D4
67,68,LH_SomMot_37,SomMot,-12,-26,74,#6C92D4
68,69,LH_DorsAttn_Post_1,DorsAttn,-44,-42,-22,#3C9F4D
69,70,LH_DorsAttn_Post_2,DorsAttn,-48,-56,-16,#3C9F4D
70,71,LH_DorsAttn_Post_3,DorsAttn,-56,-62,0,#3C9F4D
71,72,LH_DorsAttn_Post_4,DorsAttn,-48,-66,16,#3C9F4D
72,73,LH_DorsAttn_Post_5,DorsAttn,-26,-70,30,#3C9F4D
73,74,LH_DorsAttn_Post_6,DorsAttn,-54,-32,44,#3C9F4D
74,75,LH_DorsAttn_Post_7,DorsAttn,-22,-66,46,#3C9F4D
75,76,LH_DorsAttn_Post_8,DorsAttn,-46,-30,44,#3C9F4D
76,77,LH_DorsAttn_Post_9,DorsAttn,-34,-46,40,#3C9F4D
77,78,LH_DorsAttn_Post_10,DorsAttn,-28,-58,50,#3C9F4D
78,79,LH_DorsAttn_Post_11,DorsAttn,-38,-38,50,#3C9F4D
79,80,LH_DorsAttn_Post_12,DorsAttn,-36,-52,56,#3C9F4D
80,81,LH_DorsAttn_Post_13,DorsAttn,-14,-70,58,#3C9F4D
81,82,LH_DorsAttn_Post_14,DorsAttn,-28,-62,62,#3C9F4D
82,83,LH_DorsAttn_Post_15,DorsAttn,-8,-58,64,#3C9F4D
83,84,LH_DorsAttn_Post_16,DorsAttn,-20,-56,66,#3C9F4D
84,85,LH_DorsAttn_Post_17,DorsAttn,-14,-50,72,#3C9F4D
85,86,LH_DorsAttn_FEF_1,DorsAttn,-40,-2,52,#3C9F4D
86,87,LH_DorsAttn_FEF_2,DorsAttn,-26,0,56,#3C9F4D
87,88,LH_DorsAttn_FEF_3,DorsAttn,-30,-8,52,#3C9F4D
