,ID,Label,Hemi,Network,regions,x,y,z,colors
0,1,L_LatVentricule,L,NA,subcortex,-12.74475138,-14.54143646,14.47292818,NA
1,2,L_Thalamus,L,NA,subcortex,-11.40195342,-19.43050338,6.434259955,NA
2,3,L_Caudate,L,NA,subcortex,-13.42724458,6.126934985,10.6749226,NA
3,4,L_Putamen,L,NA,subcortex,-25.59356137,0.293762575,-0.289738431,NA
4,5,L_Pallidum,L,NA,subcortex,-19.65079365,-4.546031746,-1.066666667,NA
5,6,L_Hippocampus,L,NA,subcortex,-25.18963165,-22.89222374,-14.03547067,NA
6,7,L_Amygdala,L,NA,subcortex,-23.18222222,-4.933333333,-19.56444444,NA
7,8,L_Accumbens,L,NA,subcortex,-8.788990826,11.65137615,-6.458715596,NA
8,9,R_LatVentricule,R,NA,subcortex,12.84251969,-12.30708661,14.73490814,NA
9,10,R_Thalamus,R,NA,subcortex,12.05813953,-17.45784884,6.57994186,NA
10,11,R_Caudate,R,NA,subcortex,13.52073733,9.434715822,9.557603687,NA
11,12,R_Putamen,R,NA,subcortex,26.333001,2.616151545,-1.447657029,NA
12,13,R_Pallidum,R,NA,subcortex,20.73482428,-3.706070288,-1.041533546,NA
13,14,R_Hippocampus,R,NA,subcortex,26.75103164,-21.41403026,-14.18156809,NA
14,15,R_Amygdala,R,NA,subcortex,24.20155039,-3.751937984,-19.70542636,NA
15,16,R_Accumbens,R,NA,subcortex,9.629032258,11.90322581,-7.419354839,NA
16,17,L_bankssts,L,NA,cortex,-55.08823529,-41.07352941,8.926470588,NA
17,18,L_caudalanteriorcingulate,L,NA,cortex,-5.592592593,17.71604938,27.80246914,NA
18,19,L_caudalmiddlefrontal,L,NA,cortex,-36,11.96728972,48.04906542,NA
19,20,L_cuneus,L,NA,cortex,-6.551928783,-81.42433234,18.0652819,NA
20,21,L_entorhinal,L,NA,cortex,-22.73015873,-4.971428571,-34.34285714,NA
21,22,L_fusiform,L,NA,cortex,-35.10946944,-42.04163868,-22.02552048,NA
22,23,L_inferiorparietal,L,NA,cortex,-41.36120183,-68.9614631,35.32593076,NA
23,24,L_inferiortemporal,L,NA,cortex,-51.5092091,-35.23510293,-21.8624052,NA
24,25,L_isthmuscingulate,L,NA,cortex,-7.024096386,-46.12650602,18.53614458,NA
25,26,L_lateraloccipital,L,NA,cortex,-31.16919487,-87.92765461,-0.164527421,NA
26,27,L_lateralorbitofrontal,L,NA,cortex,-23.80384968,30.6416132,-17.83684693,NA
27,28,L_lingual,L,NA,cortex,-11.77728285,-70.6013363,-5.371937639,NA
28,29,L_medialorbitofrontal,L,NA,cortex,-6.449039882,33.6070901,-16.25110783,NA
29,30,L_middletemporal,L,NA,cortex,-58.90581162,-23.62725451,-12.91382766,NA
30,31,L_parahippocampal,L,NA,cortex,-21.43333333,-33.68888889,-14.74444444,NA
31,32,L_paracentral,L,NA,cortex,-5.951965066,-28.37991266,58.53275109,NA
32,33,L_parsopercularis,L,NA,cortex,-48.07017544,18.05741627,13.90430622,NA
33,34,L_parsorbitalis,L,NA,cortex,-42.18374558,37.89399293,-13.7385159,NA
34,35,L_parstriangularis,L,NA,cortex,-46.93711968,35.39959432,1.432048682,NA
35,36,L_pericalcarine,L,NA,cortex,-9.888544892,-81.81424149,4.972136223,NA
36,37,L_postcentral,L,NA,cortex,-43.21047708,-25.11693171,49.30776427,NA
37,38,L_posteriorcingulate,L,NA,cortex,-4.841328413,-18.35424354,35.12915129,NA
38,39,L_precentral,L,NA,cortex,-41.13027295,-5.717121588,42.53722084,NA
39,40,L_precuneus,L,NA,cortex,-8.059405941,-58.64280274,37.46534653,NA
40,41,L_rostralanteriorcingulate,L,NA,cortex,-5.663366337,36.33663366,1.514851485,NA
41,42,L_rostralmiddlefrontal,L,NA,cortex,-31.14372163,48.01714574,18.17952597,NA
