 ,ID,Label,Network,regions,x,y,z,colors
0,1,Default_1,Default,cortex,-11.2,-52.4,36.5,#781286
1,2,SMhand_1,SMhand,cortex,-18.8,-48.7,65,#781286
2,3,SMmouth_1,SMmouth,cortex,-51.8,-7.8,38.5,#781286
3,4,Default_2,Default,cortex,-11.7,26.7,57,#781286
4,5,Visual_1,Visual,cortex,-18.4,-85.5,21.6,#781286
5,6,Default_3,Default,cortex,-47.2,-58,30.8,#781286
6,7,FrontoParietal_1,FrontoParietal,cortex,-38.1,48.8,10.5,#781286
7,8,Visual_2,Visual,cortex,-16.8,-60.1,-5.4,#781286
8,9,FrontoParietal_2,FrontoParietal,cortex,-55.9,-47.7,-9.3,#781286
9,10,Auditory_1,Auditory,cortex,-32,-29.3,15.6,#781286
10,11,None_1,None,cortex,-29.3,5.3,-27.4,#781286
11,12,CinguloParietal_1,CinguloParietal,cortex,-6.1,-26,28.5,#781286
12,13,RetrosplenialTemporal_1,RetrosplenialTemporal,cortex,-14.4,-57.8,18.4,#FA0000
13,14,RetrosplenialTemporal_2,RetrosplenialTemporal,cortex,-8.8,-49.8,4.2,#FA0000
14,15,Visual_3,Visual,cortex,-11.3,-83.2,3.9,#FA0000
15,16,Visual_4,Visual,cortex,-22,-58.1,1.5,#FA0000
16,17,Visual_5,Visual,cortex,-9.6,-58,3,#FA0000
17,18,None_2,None,cortex,-29,-35.9,-8.3,#FA0000
18,19,None_3,None,cortex,-18.5,-39.2,-1.1,#FA0000
19,20,Visual_6,Visual,cortex,-16.7,-46,-3.7,#FA0000
20,21,CinguloOperc_1,CinguloOperc,cortex,-16.6,-36.1,42.7,#FA0000
21,22,CinguloOperc_2,CinguloOperc,cortex,-9.4,-0.1,42.9,#FA0000
22,23,VentralAttn_1,VentralAttn,cortex,-3.8,12.1,64.6,#FA0000
23,24,FrontoParietal_3,FrontoParietal,cortex,-5.5,29.3,44,#FA0000
24,25,Default_4,Default,cortex,-5.6,42.2,35.1,#4682B4
25,26,Default_5,Default,cortex,-1.7,-17.7,39.1,#4682B4
