,ID,Label,Hemi,x,y,z,n_vertices
0,1,V1_L,L,-11.742173,-82.99,0.99023986,284
1,2,MST_L,L,-43.032322,-67.26397,3.9077797,18
2,3,V6_L,L,-13.286948,-78.20634,28.689028,32
3,4,V2_L,L,-11.616247,-81.12396,2.6630003,197
4,5,V3_L,L,-18.84908,-87.86612,5.2878075,100
5,6,V4_L,L,-30.155806,-83.99095,-3.948204,112
6,7,V8_L,L,-31.074451,-71.852745,-16.314533,13
7,8,4_L,L,-27.896976,-20.529922,53.642517,268
8,9,3b_L,L,-36.004475,-23.614246,51.886692,180
9,10,FEF_L,L,-40.03539,-5.3261747,49.17008,47
10,11,PEF_L,L,-47.277267,0.27885202,36.571392,18
11,12,55b_L,L,-48.879997,-0.56243724,46.77513,42
12,13,V3A_L,L,-17.402672,-88.933,23.316612,38
13,14,RSC_L,L,-4.2968063,-37.274582,19.20187,65
14,15,POS2_L,L,-9.241886,-70.99639,35.144165,75
15,16,V7_L,L,-24.808075,-83.17716,26.800524,11
16,17,IPS1_L,L,-23.879663,-72.56009,32.605057,38
17,18,FFC_L,L,-42.211468,-55.905663,-20.740877,54
18,19,V3B_L,L,-27.70986,-80.50586,16.107784,21
19,20,LO1_L,L,-40.456245,-85.53856,2.5366497,14
20,21,LO2_L,L,-45.011845,-80.70934,-6.816751,16
21,22,PIT_L,L,-42.281883,-78.86908,-14.783541,19
22,23,MT_L,L,-46.22256,-72.85088,5.612512,19
23,24,A1_L,L,-43.413307,-25.268944,10.499133,27
24,25,PSL_L,L,-58.03632,-46.280758,22.109373,55
25,26,SFL_L,L,-7.6077595,16.991127,62.09252,60
26,27,PCV_L,L,-6.0836067,-50.86853,47.640602,50
27,28,STV_L,L,-60.861553,-48.69066,13.858544,41
28,29,7Pm_L,L,-5.6504107,-65.15508,48.305508,28
29,30,7m_L,L,-4.136516,-60.25483,34.40233,36
30,31,POS1_L,L,-10.978074,-60.56742,12.417475,75
31,32,23d_L,L,-1.8742427,-19.212885,38.775875,28
32,33,v23ab_L,L,-3.5047398,-56.26837,19.83396,20
33,34,d23ab_L,L,-1.653559,-40.201805,31.260948,31
34,35,31pv_L,L,-8.536704,-47.42211,31.906036,28
35,36,5m_L,L,-6.0295334,-40.4625,61.04655,37
36,37,5mv_L,L,-14.295489,-37.39406,48.414738,58
37,38,23c_L,L,-11.858632,-28.39029,42.406254,72
38,39,5L_L,L,-13.363179,-45.324345,69.86687,55
39,40,24dd_L,L,-7.3844566,-17.29777,47.936367,79
40,41,24dv_L,L,-8.849453,-1.8749714,43.472008,40
41,42,7AL_L,L,-18.575184,-52.985905,64.24174,64
42,43,SCEF_L,L,-6.021921,2.8280847,55.15079,68
43,44,6ma_L,L,-17.347496,4.8981133,66.50072,59
44,45,7Am_L,L,-8.316219,-58.389763,59.5811,72
45,46,7Pl_L,L,-12.950969,-73.348114,50.464066,38
46,47,7PC_L,L,-34.466667,-49.635715,59.20631,59
47,48,LIPv_L,L,-28.843908,-57.065792,50.980537,43
48,49,VIP_L,L,-21.255829,-64.3255,59.16611,49
49,50,MIP_L,L,-22.663046,-64.648926,42.599957,48
50,51,1_L,L,-47.636105,-23.815489,53.095024,144
51,52,2_L,L,-35.868374,-35.127975,51.141773,164
52,53,3a_L,L,-35.466866,-20.722475,41.0566,82
53,54,6d_L,L,-33.935524,-12.814101,63.972374,62
54,55,6mp_L,L,-12.500929,-13.862424,68.000175,84
55,56,6v_L,L,-59.131237,2.7065508,32.00635,29
56,57,p24pr_L,L,-2.6487944,-1.7360398,39.469807,27
57,58,33pr_L,L,-2.5965478,5.3662395,30.41841,27
58,59,a24pr_L,L,-4.255321,19.396212,29.797493,29
59,60,p32pr_L,L,-9.313037,14.064281,38.04527,41
60,61,a24_L,L,-3.7153196,39.156662,-2.37987,37
61,62,d32_L,L,-8.552446,39.672806,21.026161,26
62,63,8BM_L,L,-4.4113135,30.361824,42.955677,51
63,64,p32_L,L,-9.687311,47.94589,-0.85327375,25
64,65,10r_L,L,-6.65677,47.6671,-8.709519,24
65,66,47m_L,L,-34.462307,32.37029,-14.221219,12
66,67,8Av_L,L,-37.58243,17.402046,49.339573,65
67,68,8Ad_L,L,-23.799843,25.231636,42.151154,72
68,69,9m_L,L,-6.2674975,51.620037,22.582771,80
69,70,8BL_L,L,-11.303933,37.680176,51.48332,40
70,71,9p_L,L,-18.815159,44.38309,37.76206,43
71,72,10d_L,L,-9.914393,64.4096,9.392359,57
72,73,8C_L,L,-41.27567,15.350759,35.15936,70
73,74,44_L,L,-51.86782,15.53627,12.285144,44
74,75,45_L,L,-48.6212,26.86323,3.152237,62
75,76,47l_L,L,-45.782093,30.448341,-11.078632,47
76,77,a47r_L,L,-39.924656,46.57306,-10.611251,59
77,78,6r_L,L,-51.905544,6.540767,16.567078,77
78,79,IFJa_L,L,-40.240463,11.140641,24.63178,34
79,80,IFJp_L,L,-39.375057,3.8918245,28.216644,26
80,81,IFSp_L,L,-43.510105,21.20072,21.969303,29
81,82,IFSa_L,L,-44.236984,30.835157,13.339767,41
82,83,p9-46v_L,L,-44.402733,29.684692,26.660887,46
83,84,46_L,L,-36.53483,36.34258,29.711704,71
84,85,a9-46v_L,L,-38.1878,48.325626,8.082769,47
85,86,9-46d_L,L,-28.74249,43.43419,22.486412,82
86,87,9a_L,L,-20.711899,54.272507,25.254412,49
87,88,10v_L,L,-3.4108021,52.658123,-18.45876,45
88,89,a10p_L,L,-25.9442,55.90279,-4.709365,30
89,90,10pp_L,L,-13.992169,60.78116,-14.568489,24
90,91,11l_L,L,-26.058853,43.51244,-14.392949,40
91,92,13l_L,L,-23.508612,26.91302,-19.232573,37
92,93,OFC_L,L,-9.961632,29.674137,-24.18773,113
93,94,47s_L,L,-32.70067,19.752958,-18.68625,46
94,95,LIPd_L,L,-29.193752,-56.469288,41.864887,33
95,96,6a_L,L,-24.272196,-3.566605,53.527584,109
96,97,i6-8_L,L,-30.62347,7.227247,53.941635,32
97,98,s6-8_L,L,-22.940683,22.440523,56.735695,16
98,99,43_L,L,-58.82862,-0.5696337,8.071365,36
99,100,OP4_L,L,-57.26429,-12.629921,11.949988,63
100,101,OP1_L,L,-46.973232,-21.604637,16.232601,47
101,102,OP2-3_L,L,-37.876347,-19.150259,16.016954,48
102,103,52_L,L,-38.644238,-23.232798,-0.20700417,18
103,104,RI_L,L,-39.10161,-33.302883,16.140211,65
104,105,PFcm_L,L,-50.90534,-32.098885,18.573462,44
105,106,PoI2_L,L,-41.01036,-4.3997464,-2.0301523,52
106,107,TA2_L,L,-50.834103,-0.10184387,-7.100714,24
107,108,FOP4_L,L,-38.3113,13.039293,5.604939,71
108,109,MI_L,L,-37.565914,9.019635,2.1748965,42
109,110,Pir_L,L,-30.380398,5.664044,-19.657862,54
