,ID,Label,Hemi,x,y,z,n_vertices
0,1,L_None_1,L,-24.667738,4.617269,-30.333134,39
1,2,L_None_2,L,-17.784077,-32.963512,-10.274816,6
2,3,L_None_3,L,-15.716236,-35.810337,-6.320806,3
3,4,L_None_4,L,-33.759148,12.3140545,-34.225327,56
4,5,L_None_5,L,-23.699146,59.36516,-9.284016,17
5,6,L_None_6,L,-28.828178,5.5935516,-21.603094,9
6,7,L_None_7,L,-34.92888,35.87447,-13.370837,24
7,8,L_None_8,L,-22.865494,27.76493,-18.706278,58
8,9,L_None_9,L,-24.226784,50.997147,-15.461001,21
9,10,L_None_10,L,-17.16048,41.495815,-22.392971,25
10,11,L_None_11,L,-11.702001,19.14751,-20.93531,60
11,12,L_None_12,L,-8.033344,42.947445,-25.777182,23
12,13,L_None_13,L,-3.0138423,26.612461,-26.481937,30
13,14,L_None_14,L,-51.85928,-15.238714,-34.12303,75
14,15,L_None_15,L,-44.746105,5.1060085,-37.468372,62
15,16,L_None_16,L,-57.707268,-37.605553,-23.276056,37
16,17,L_None_17,L,-30.52401,-3.689954,-42.774147,41
17,18,L_None_18,L,-38.12926,-17.268833,-30.43515,61
18,19,L_None_19,L,-22.133299,-12.589324,-31.319666,46
19,20,L_None_20,L,-20.470608,-25.718575,-21.65399,25
20,21,L_None_21,L,-52.15527,8.200988,-20.630259,35
21,48,L_Default_1,L,-5.3097258,-51.103546,34.04092,254
22,49,L_Default_2,L,-11.705255,27.449022,56.803215,65
23,50,L_Default_3,L,-48.745102,-59.310207,28.453386,300
24,51,L_Default_4,L,-4.606133,42.994602,33.626358,29
25,52,L_Default_5,L,-1.2802693,-17.219303,38.854652,20
26,53,L_Default_6,L,-22.404316,27.978615,45.17767,93
27,54,L_Default_7,L,-39.88772,-75.72612,36.308357,81
28,55,L_Default_8,L,-28.218704,53.31842,-0.9400369,20
29,56,L_Default_9,L,-5.4498634,53.188396,-13.384622,73
30,57,L_Default_10,L,-4.5519257,30.38157,-10.310554,93
31,58,L_Default_11,L,-63.511692,-29.592403,-13.842229,28
32,59,L_Default_12,L,-57.831833,-13.618057,-17.845991,127
33,60,L_Default_13,L,-17.624554,47.829807,37.432743,43
34,61,L_Default_14,L,-21.451918,52.94796,24.124731,53
35,62,L_Default_15,L,-7.06067,54.907787,14.730254,109
36,63,L_Default_16,L,-16.14914,64.81314,10.653545,27
37,64,L_Default_17,L,-5.446104,40.634754,7.2479196,47
38,65,L_Default_18,L,-27.11919,27.164238,38.998287,34
39,66,L_Default_19,L,-30.78171,14.593545,51.252865,34
40,67,L_Default_20,L,-40.747105,18.630875,45.543167,64
41,89,L_ParietoOccip_1,L,-13.374107,-62.42247,15.754084,57
42,90,L_ParietoOccip_2,L,-9.743808,-51.378166,4.9898725,67
43,91,L_ParietoOccip_3,L,-31.928785,-35.18805,-18.94752,75
44,92,L_ParietoOccip_4,L,-22.49067,-37.132736,-16.496044,29
45,97,L_FrontoParietal_1,L,-39.647118,47.944324,11.406917,20
46,98,L_FrontoParietal_2,L,-59.7107,-48.002766,-13.376262,20
47,99,L_FrontoParietal_3,L,-4.555726,29.847393,44.205334,50
48,100,L_FrontoParietal_4,L,-40.21373,48.64387,-5.8361435,60
49,101,L_FrontoParietal_5,L,-33.74094,-59.87637,41.786304,83
50,102,L_FrontoParietal_6,L,-44.42133,22.724745,32.20088,26
51,103,L_FrontoParietal_7,L,-43.63406,23.28735,22.947205,69
52,104,L_FrontoParietal_8,L,-21.643793,59.85726,0.9828258,35
53,105,L_FrontoParietal_9,L,-30.24608,50.9291,9.146251,30
54,121,L_Salience_1,L,-6.2892127,31.938587,21.283995,34
55,122,L_Salience_2,L,-34.922237,17.736963,-9.430023,16
56,125,L_CinguloOperc_1,L,-12.727316,-32.276585,44.60495,137
57,126,L_CinguloOperc_2,L,-7.4695773,0.7865873,44.148537,130
58,127,L_CinguloOperc_3,L,-5.605408,15.607008,31.864925,80
59,128,L_CinguloOperc_4,L,-7.607325,26.45565,26.568573,16
60,129,L_CinguloOperc_5,L,-6.065849,-6.797305,64.088745,72
61,130,L_CinguloOperc_6,L,-43.01695,-3.6733236,48.786694,24
62,131,L_CinguloOperc_7,L,-58.5916,-43.315327,32.616493,104
63,132,L_CinguloOperc_8,L,-41.681835,-15.566076,-4.5283036,75
64,133,L_CinguloOperc_9,L,-41.255726,-0.09976278,-13.411948,87
65,134,L_CinguloOperc_10,L,-39.6922,4.68291,8.336369,88
66,135,L_CinguloOperc_11,L,-37.85444,0.14896815,7.070697,21
67,136,L_CinguloOperc_12,L,-39.772343,7.735192,-0.79760027,17
68,137,L_CinguloOperc_13,L,-33.15623,21.800661,4.674085,105
69,138,L_CinguloOperc_14,L,-61.15749,-6.00168,9.85319,38
70,139,L_CinguloOperc_15,L,-57.113335,-31.94328,20.431223,37
71,140,L_CinguloOperc_16,L,-60.268314,-25.406435,30.18306,87
72,141,L_CinguloOperc_17,L,-51.862377,-0.06704299,3.1726224,46
73,142,L_CinguloOperc_18,L,-53.33233,8.687919,12.449802,63
74,143,L_CinguloOperc_19,L,-29.698368,46.41577,18.789614,17
75,144,L_CinguloOperc_20,L,-31.192846,39.373497,27.088419,45
76,165,L_MedialParietal_1,L,-3.74532,-22.491514,29.004707,92
77,166,L_MedialParietal_2,L,-13.410023,-68.08478,28.650942,24
78,167,L_MedialParietal_3,L,-11.474985,-75.446236,40.373634,57
79,170,L_DorsalAttn_1,L,-28.965584,-5.4967566,50.819416,73
80,171,L_DorsalAttn_2,L,-28.810856,2.7324135,52.993443,28
81,172,L_DorsalAttn_3,L,-21.828693,8.525859,55.524467,23
82,173,L_DorsalAttn_4,L,-20.890509,1.6896313,63.53341,25
83,174,L_DorsalAttn_5,L,-33.558628,-51.14513,46.126637,96
84,175,L_DorsalAttn_6,L,-42.96482,-46.711807,41.230328,81
85,176,L_DorsalAttn_7,L,-49.86953,-32.326996,40.05158,56
86,177,L_DorsalAttn_8,L,-45.85083,34.681202,7.755051,35
87,178,L_DorsalAttn_9,L,-20.68537,-67.00585,50.315796,139
88,179,L_DorsalAttn_10,L,-26.088392,-68.41352,31.695213,62
89,180,L_DorsalAttn_11,L,-8.064996,-56.025608,59.213993,81
90,181,L_DorsalAttn_12,L,-6.942401,-66.07174,54.305588,29
91,182,L_DorsalAttn_13,L,-30.214508,-76.90581,33.727757,20
92,183,L_DorsalAttn_14,L,-49.707573,-53.531,-13.772416,202
93,184,L_DorsalAttn_15,L,-48.295437,4.0092545,29.999834,91
94,185,L_DorsalAttn_16,L,-36.75558,7.747967,30.66416,24
95,186,L_DorsalAttn_17,L,-40.434174,36.72071,16.437136,38
96,187,L_DorsalAttn_18,L,-41.78104,9.300383,22.852875,26
97,188,L_DorsalAttn_19,L,-39.896965,34.269783,31.352962,42
98,202,L_VentralAttn_1,L,-6.1133714,12.456963,62.856243,46
99,203,L_VentralAttn_2,L,-45.761032,-54.629227,12.414161,18
100,204,L_VentralAttn_3,L,-52.628857,-56.787712,9.442473,19
101,205,L_VentralAttn_4,L,-57.027924,-38.54774,-0.773257,236
102,206,L_VentralAttn_5,L,-51.854538,20.674025,9.171237,47
103,207,L_VentralAttn_6,L,-48.19133,37.614426,-10.247121,26
104,208,L_VentralAttn_7,L,-33.114693,20.076094,-16.114239,102
105,209,L_VentralAttn_8,L,-44.223186,31.21417,-7.5353255,30
106,210,L_VentralAttn_9,L,-47.029236,28.236094,0.81588346,28
107,211,L_VentralAttn_10,L,-42.488674,5.590601,44.90178,32
108,212,L_VentralAttn_11,L,-60.35546,-16.60398,-5.803738,19
109,225,L_Visual_1,L,-22.681725,-87.369705,22.122267,153
110,226,L_Visual_2,L,-16.011635,-57.66062,-7.376368,87
111,227,L_Visual_3,L,-10.960613,-80.950294,4.1785154,241
112,228,L_Visual_4,L,-20.712364,-60.51669,1.8131862,18
113,229,L_Visual_5,L,-8.348398,-61.01877,2.8254483,10
114,230,L_Visual_6,L,-14.7140875,-47.767365,-3.4838884,38
115,231,L_Visual_7,L,-14.1417885,-75.02677,25.087816,48
116,232,L_Visual_8,L,-33.790993,-88.150375,8.056062,103
117,233,L_Visual_9,L,-37.173225,-88.84232,-3.1844547,42
118,234,L_Visual_10,L,-45.358902,-70.76471,5.721163,92
119,235,L_Visual_11,L,-27.119884,-58.251408,-10.825469,50
120,236,L_Visual_12,L,-35.538677,-60.87744,-19.669226,28
121,237,L_Visual_13,L,-35.002155,-39.993828,-24.98095,44
122,238,L_Visual_14,L,-5.190551,-88.46018,20.34001,68
123,239,L_Visual_15,L,-6.9472103,-78.86088,-6.605744,25
