,ID,Label,Hemi,Network,regions,x,y,z,
0,1,V1_L,L,Primary_Visual,cortex,100.491589,41.138901,71.63704,
1,2,MST_L,L,MT+_Complex_and_Neighboring_Visual_Areas,cortex,132.416667,58.901786,82.059524,
2,3,V6_L,L,Dorsal_Stream_Visual,cortex,104.543112,44.481665,103.916749,
3,4,V2_L,L,Early_Visual,cortex,102.236656,44.064791,74.401125,
4,5,V3_L,L,Early_Visual,cortex,107.926111,40.632159,76.961153,
5,6,V4_L,L,Early_Visual,cortex,120.481621,41.344329,69.955702,
6,7,V8_L,L,Ventral_Stream_Visual,cortex,123.013193,51.8927,56.759015,
7,8,4_L,L,Somatosensory_and_Motor,cortex,119.338359,105.485002,126.65561,
8,9,3b_L,L,Somatosensory_and_Motor,cortex,129.664059,103.257279,123.682747,
9,10,FEF_L,L,Premotor,cortex,132.579336,118.837638,121.922509,
10,11,PEF_L,L,Premotor,cortex,136.772664,125.582985,112.956764,
11,12,55b_L,L,Premotor,cortex,138.865752,124.683174,122.399165,
12,13,V3A_L,L,Dorsal_Stream_Visual,cortex,104.528505,33.597072,99.335131,
13,14,RSC_L,L,Posterior_Cingulate,cortex,96.918149,86.60261,88.986951,
14,15,POS2_L,L,Posterior_Cingulate,cortex,98.677433,53.233641,109.394715,
15,16,V7_L,L,Dorsal_Stream_Visual,cortex,114.850993,39.443709,100.271523,
16,17,IPS1_L,L,Dorsal_Stream_Visual,cortex,114.19184,51.537326,110.430556,
17,18,FFC_L,L,Ventral_Stream_Visual,cortex,133.940136,69.78536,52.618797,
18,19,V3B_L,L,Dorsal_Stream_Visual,cortex,117.755656,42.828054,88.434389,
19,20,LO1_L,L,MT+_Complex_and_Neighboring_Visual_Areas,cortex,132.592541,39.361878,78.374309,
20,21,LO2_L,L,MT+_Complex_and_Neighboring_Visual_Areas,cortex,137.691983,45.555907,68.914557,
21,22,PIT_L,L,Ventral_Stream_Visual,cortex,137.394161,48.92805,61.153285,
22,23,MT_L,L,MT+_Complex_and_Neighboring_Visual_Areas,cortex,133.489855,55.521739,82.907246,
23,24,A1_L,L,Early_Auditory,cortex,135.998896,101.994481,82.398455,
24,25,PSL_L,L,Temporo-Parieto_Occipital_Junction,cortex,150.183112,78.426117,97.249877,
25,26,SFL_L,L,Dorsolateral_Prefrontal,cortex,98.31097,142.730684,135.373291,
26,27,PCV_L,L,Posterior_Cingulate,cortex,96.358639,76.151178,120.194372,
27,28,STV_L,L,Temporo-Parieto-Occipital_Junction,cortex,152.198435,74.187814,89.932923,
28,29,7Pm_L,L,Superior_Parietal,cortex,95.248227,58.274232,121.498818,
29,30,7m_L,L,Posterior_Cingulate,cortex,95.552556,64.056289,105.57668,
30,31,POS1_L,L,Posterior_Cingulate,cortex,101.731298,67.452417,84.880916,
31,32,23d_L,L,Posterior_Cingulate,cortex,93.867052,106.364162,109.955684,
32,33,v23ab_L,L,Posterior_Cingulate,cortex,94.704348,70.024638,91.217391,
33,34,d23ab_L,L,Posterior_Cingulate,cortex,93.768848,84.202983,102.524441,
34,35,31pv_L,L,Posterior_Cingulate,cortex,100.042751,81.552045,104.622677,
35,36,5m_L,L,Paracentral_Lobular_and_Mid_Cingulate,cortex,96.894004,83.917559,134.828694,
36,37,5mv_L,L,Paracentral_Lobular_and_Mid_Cingulate,cortex,104.643979,88.134031,121.951832,
37,38,23c_L,L,Paracentral_Lobular_and_Mid_Cingulate,cortex,102.515493,96.142723,113.688263,
38,39,5L_L,L,Paracentral_Lobular_and_Mid_Cingulate,cortex,105.121097,76.89642,144.418888,
39,40,24dd_L,L,Paracentral_Lobular_and_Mid_Cingulate,cortex,96.658505,110.468299,121.557499,
40,41,24dv_L,L,Paracentral_Lobular_and_Mid_Cingulate,cortex,100.068306,126.534153,115.301913,
41,42,7AL_L,L,Superior_Parietal,cortex,112.239867,73.178073,137.489037,
42,43,SCEF_L,L,Paracentral_Lobular_and_Mid_Cingulate,cortex,96.643496,131.532274,128.125124,
43,44,6ma_L,L,Paracentral_Lobular_and_Mid_Cingulate,cortex,110.592627,130.136617,139.421933,
44,45,7Am_L,L,Superior_Parietal,cortex,97.517305,65.146285,132.871251,
45,46,7Pl_L,L,Superior_Parietal,cortex,105.278114,51.702539,127.938331,
46,47,7PC_L,L,Superior_Parietal,cortex,128.238394,78.294856,131.844417,
47,48,LIPv_L,L,Superior_Parietal,cortex,121.655546,69.556357,124.250676,
48,49,VIP_L,L,Superior_Parietal,cortex,114.787443,60.903859,134.815566,
49,50,MIP_L,L,Superior_Parietal,cortex,115.970641,58.793594,119.152135,
50,51,1_L,L,Somatosensory_and_Motor,cortex,138.150337,99.962157,127.34085,
51,52,2_L,L,Somatosensory_and_Motor,cortex,129.508165,92.68818,123.900078,
52,53,3a_L,L,Somatosensory_and_Motor,cortex,125.373109,105,114.733613,
53,54,6d_L,L,Premotor,cortex,124.128205,111.937022,138.11426,
54,55,6mp_L,L,Paracentral_Lobular_and_Mid_Cingulate,cortex,100.026417,110.678674,141.063401,
55,56,6v_L,L,Premotor,cortex,149.799006,129.681108,103.925426,
56,57,p24pr_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,94.447546,124.308951,110.85948,
57,58,33pr_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,94.083624,134.923345,100.006969,
58,59,a24pr_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,95.249415,144.104215,101.338407,
59,60,p32pr_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,99.010823,140.837662,110.227273,
60,61,a24_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,96.046431,166.310464,66.976438,
61,62,d32_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,98.638734,168.099317,96.929236,
62,63,8BM_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,95.909177,158.968616,116.162149,
63,64,p32_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,101.628302,174.318868,67.658491,
64,65,10r_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,96.816092,176.014368,59.294061,
65,66,47m_L,L,Orbital_and_Polar_Frontal,cortex,127.422402,156.510121,55.184885,
66,67,8Av_L,L,Dorsolateral_Prefrontal,cortex,128.190759,142.505809,124.802756,
67,68,8Ad_L,L,Dorsolateral_Prefrontal,cortex,113.687799,154.661483,115.801037,
68,69,9m_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,97.019809,180.108831,93.67494,
69,70,8BL_L,L,Dorsolateral_Prefrontal,cortex,101.401615,163.951564,124.369828,
70,71,9p_L,L,Dorsolateral_Prefrontal,cortex,109.307738,173.069108,109.713526,
71,72,10d_L,L,Orbital_and_Polar_Frontal,cortex,100.894288,191.564911,78.3023,
72,73,8C_L,L,Dorsolateral_Prefrontal,cortex,134.157612,139.145205,109.267606,
73,74,44_L,L,Inferior_Frontal,cortex,144.510015,141.238315,88.001027,
74,75,45_L,L,Inferior_Frontal,cortex,141.73524,152.514118,73.734873,
75,76,47l_L,L,Inferior_Frontal,cortex,136.797521,154.852273,60.41374,
76,77,a47r_L,L,Inferior_Frontal,cortex,131.095281,174.396953,59.360514,
77,78,6r_L,L,Premotor,cortex,143.753559,132.158363,88.451957,
78,79,IFJa_L,L,Inferior_Frontal,cortex,131.411067,137.512846,97.774704,
79,80,IFJp_L,L,Inferior_Frontal,cortex,131.397321,127.672619,101.36756,
80,81,IFSp_L,L,Inferior_Frontal,cortex,137.874185,149.780056,91.685927,
81,82,IFSa_L,L,Inferior_Frontal,cortex,137.383825,159.179718,80.8819,
82,83,p9-46v_L,L,Dorsolateral_Prefrontal,cortex,138.145009,155.665913,98.46629,
83,84,46_L,L,Dorsolateral_Prefrontal,cortex,127.033498,164.498689,105.07457,
84,85,a9-46v_L,L,Dorsolateral_Prefrontal,cortex,131.147188,176.872535,80.33382,
85,86,9-46d_L,L,Dorsolateral_Prefrontal,cortex,120.191583,172.262563,93.433103,
86,87,9a_L,L,Dorsolateral_Prefrontal,cortex,112.60695,183.845628,95.711763,
87,88,10v_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,95.085146,179.625174,52.61453,
88,89,a10p_L,L,Orbital_and_Polar_Frontal,cortex,116.405009,185.963731,63.137306,
89,90,10pp_L,L,Orbital_and_Polar_Frontal,cortex,103.361926,187.352144,54.227239,
90,91,11l_L,L,Orbital_and_Polar_Frontal,cortex,115.577956,172.905411,55.238477,
91,92,13l_L,L,Orbital_and_Polar_Frontal,cortex,113.105234,153.630846,50.639198,
92,93,OFC_L,L,Orbital_and_Polar_Frontal,cortex,101.248092,155.905125,46.772628,
93,94,47s_L,L,Orbital_and_Polar_Frontal,cortex,123.285457,146.215144,51.115986,
94,95,LIPd_L,L,Superior_Parietal,cortex,120.72028,70.784965,112.674825,
95,96,6a_L,L,Premotor,cortex,115.421955,121.769876,126.648432,
96,97,i6-8_L,L,Dorsolateral_Prefrontal,cortex,119.66028,129.204864,127.283714,
97,98,s6-8_L,L,Dorsolateral_Prefrontal,cortex,112.448914,151.434433,128.003218,
98,99,43_L,L,Posterior_Opercular,cortex,147.447146,125.598309,80.808668,
99,100,OP4_L,L,Posterior_Opercular,cortex,151.038095,113.658333,86.099405,
100,101,OP1_L,L,Posterior_Opercular,cortex,138.126662,103.983905,90.311407,
101,102,OP2-3_L,L,Posterior_Opercular,cortex,131.5,109.658263,89.165266,
102,103,52_L,L,Early_Auditory,cortex,130.277162,105.017738,70.645233,
103,104,RI_L,L,Early_Auditory,cortex,130.666225,90.109934,91.313907,
104,105,PFcm_L,L,Early_Auditory,cortex,141.793228,93.845101,92.239193,
105,106,PoI2_L,L,Insular_and_Frontal_Opercular,cortex,131.140744,121.382156,71.041031,
106,107,TA2_L,L,Auditory_Association,cortex,141.08604,129.967515,63.526778,
107,108,FOP4_L,L,Insular_and_Frontal_Opercular,cortex,133.429119,138.892173,76.685824,
108,109,MI_L,L,Insular_and_Frontal_Opercular,cortex,127.923709,136.443075,73.143779,
109,110,Pir_L,L,Insular_and_Frontal_Opercular,cortex,122.938706,130.870602,53.682179,
110,111,AVI_L,L,Insular_and_Frontal_Opercular,cortex,121.113485,150.508678,67.823765,
111,112,AAIC_L,L,Insular_and_Frontal_Opercular,cortex,126.225504,139.71902,60.595101,
112,113,FOP1_L,L,Posterior_Opercular,cortex,140.305709,128.198895,75.653775,
113,114,FOP3_L,L,Insular_and_Frontal_Opercular,cortex,126,128.96978,84.425824,
114,115,FOP2_L,L,Insular_and_Frontal_Opercular,cortex,133.704403,121.251572,85.752621,
115,116,PFt_L,L,Inferior_Parietal,cortex,146.277662,100.807933,106.926931,
116,117,AIP_L,L,Superior_Parietal,cortex,130.372549,87.01364,112.687127,
117,118,EC_L,L,Medial_Temporal,cortex,111.463631,115.664695,42.698403,
118,119,PreS_L,L,Medial_Temporal,cortex,109.856877,94.634758,60.597584,
119,120,H_L,L,Medial_Temporal,cortex,120.203438,102.589542,54.63467,
120,121,ProS_L,L,Posterior_Cingulate,cortex,112.538922,71.057884,75.091816,
121,122,PeEc_L,L,Medial_Temporal,cortex,120.292051,116.757071,38.222388,
122,123,STGa_L,L,Auditory_Association,cortex,139.957301,140.979968,50.18292,
123,124,PBelt_L,L,Early_Auditory,cortex,144.62098,100.147014,79.898162,
124,125,A5_L,L,Auditory_Association,cortex,152.259123,112.858549,68.432144,
125,126,PHA1_L,L,Medial_Temporal,cortex,111.705833,90.678333,55.309167,
126,127,PHA3_L,L,Medial_Temporal,cortex,124.479062,90.840871,51.123953,
127,128,STSda_L,L,Auditory_Association,cortex,143.831461,123.554073,57.391854,
128,129,STSdp_L,L,Auditory_Association,cortex,143.062832,94.156637,72.083186,
129,130,STSvp_L,L,Auditory_Association,cortex,146.913625,91.085158,67.189173,
130,131,TGd_L,L,Lateral_Temporal,cortex,127.26011,137.751977,35.261304,
131,132,TE1a_L,L,Lateral_Temporal,cortex,150.202228,122.362624,47.172277,
132,133,TE1p_L,L,Lateral_Temporal,cortex,152.940325,78.805713,61.515946,
133,134,TE2a_L,L,Lateral_Temporal,cortex,148.079856,104.370685,42.029109,
134,135,TF_L,L,Medial_Temporal,cortex,132.406298,105.142089,41.219662,
135,136,TE2p_L,L,Lateral_Temporal,cortex,142.182155,83.665679,49.921881,
136,137,PHT_L,L,Lateral_Temporal,cortex,150.083714,66.180795,74.12733,
137,138,PH_L,L,MT+_Complex_and_Neighboring_Visual_Areas,cortex,139.578644,61.953921,65.579087,
138,139,TPOJ1_L,L,Temporo-Parieto-Occipital_Junction,cortex,144.16796,79.669019,81.137615,
139,140,TPOJ2_L,L,Temporo-Parieto-Occipital_Junction,cortex,143.28,62.095686,87.299608,
140,141,TPOJ3_L,L,Temporo-Parieto-Occipital_Junction,cortex,133.675835,54.257367,91.510806,
141,142,DVT_L,L,Posterior_Cingulate,cortex,108.042324,53.086307,103.566805,
142,143,PGp_L,L,Inferior_Parietal,cortex,129.425332,40.278761,94.142146,
143,144,IP2_L,L,Inferior_Parietal,cortex,131.750374,77.285501,114.758595,
144,145,IP1_L,L,Inferior_Parietal,cortex,121.635182,55.480069,111.34922,
145,146,IP0_L,L,Inferior_Parietal,cortex,122.033257,45.806193,97.033257,
146,147,PFop_L,L,Inferior_Parietal,cortex,154.842679,102.913551,96.221963,
147,148,PF_L,L,Inferior_Parietal,cortex,151.894297,89.867502,108.288348,
148,149,PFm_L,L,Inferior_Parietal,cortex,140.702334,70.065862,118.414359,
149,150,PGi_L,L,Inferior_Parietal,cortex,138.62727,61.299798,99.072355,
150,151,PGs_L,L,Inferior_Parietal,cortex,131.808463,48.857461,110.436526,
151,152,V6A_L,L,Dorsal_Stream_Visual,cortex,112.534483,39.66092,114.188218,
152,153,VMV1_L,L,Ventral_Stream_Visual,cortex,110.244105,74.319001,64.307906,
153,154,VMV3_L,L,Ventral_Stream_Visual,cortex,119.618762,64.508982,61.017964,
154,155,PHA2_L,L,Medial_Temporal,cortex,121.389831,90.169492,58.122881,
155,156,V4t_L,L,MT+_Complex_and_Neighboring_Visual_Areas,cortex,138.695811,48.185792,74.724954,
156,157,FST_L,L,MT+_Complex_and_Neighboring_Visual_Areas,cortex,137.648765,57.787325,76.535983,
157,158,V3CD_L,L,MT+_Complex_and_Neighboring_Visual_Areas,cortex,125.152542,36.195686,81.429892,
158,159,LO3_L,L,MT+_Complex_and_Neighboring_Visual_Areas,cortex,136.842415,48.964654,85.864507,
159,160,VMV2_L,L,Ventral_Stream_Visual,cortex,119.360502,74.39185,66.366771,
160,161,31pd_L,L,Posterior_Cingulate,cortex,102.136519,73.851536,106.767918,
161,162,31a_L,L,Posterior_Cingulate,cortex,95.984389,88.707989,115.960514,
162,163,VVC_L,L,Ventral_Stream_Visual,cortex,121.913003,74.920407,53.816752,
163,164,25_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,95.291898,147.049945,57.497225,
164,165,s32_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,97.364516,159.174194,54.480645,
165,166,pOFC_L,L,Anterior_Cingulate_and_Medial_Prefrontal,cortex,104.455746,137.165786,52.015852,
166,167,PoI1_L,L,Insular_and_Frontal_Opercular,cortex,129.839378,113.685665,68.664076,
167,168,Ig_L,L,Insular_and_Frontal_Opercular,cortex,126.25974,110.064935,86.446429,
168,169,FOP5_L,L,Insular_and_Frontal_Opercular,cortex,125.928129,152.826518,75.615861,
169,170,p10p_L,L,Orbital_and_Polar_Frontal,cortex,114.061006,189.546541,72.976101,
170,171,p47r_L,L,Inferior_Frontal,cortex,134.951128,169.179699,72.101504,
171,172,TGv_L,L,Lateral_Temporal,cortex,127.497751,123.922939,25.901949,
172,173,MBelt_L,L,Early_Auditory,cortex,136.939267,110.757068,73.956021,
173,174,LBelt_L,L,Early_Auditory,cortex,136.829565,99.368696,79.617391,
174,175,A4_L,L,Auditory_Association,cortex,155.165477,104.292219,78.188243,
