,ID,Hemi,Label,Network,regions,x,y,z,colors
0,1,L,LH_Vis_1,Visual,cortex,-32,-42,-20,#A76CD4
1,2,L,LH_Vis_2,Visual,cortex,-30,-32,-18,#A76CD4
2,3,L,LH_Vis_3,Visual,cortex,-36,-62,-16,#A76CD4
3,4,L,LH_Vis_4,Visual,cortex,-24,-54,-8,#A76CD4
4,5,L,LH_Vis_5,Visual,cortex,-24,-72,-10,#A76CD4
5,6,L,LH_Vis_6,Visual,cortex,-36,-82,-16,#A76CD4
6,7,L,LH_Vis_7,Visual,cortex,-18,-38,-12,#A76CD4
7,8,L,LH_Vis_8,Visual,cortex,-46,-70,-8,#A76CD4
8,9,L,LH_Vis_9,Visual,cortex,-16,-86,-16,#A76CD4
9,10,L,LH_Vis_10,Visual,cortex,-12,-62,-4,#A76CD4
10,11,L,LH_Vis_11,Visual,cortex,-6,-76,-6,#A76CD4
11,12,L,LH_Vis_12,Visual,cortex,-24,-96,-12,#A76CD4
12,13,L,LH_Vis_13,Visual,cortex,-14,-44,-6,#A76CD4
13,14,L,LH_Vis_14,Visual,cortex,-42,-86,-4,#A76CD4
14,15,L,LH_Vis_15,Visual,cortex,-8,-98,-8,#A76CD4
15,16,L,LH_Vis_16,Visual,cortex,-14,-56,2,#A76CD4
16,17,L,LH_Vis_17,Visual,cortex,-46,-74,6,#A76CD4
17,18,L,LH_Vis_18,Visual,cortex,-4,-88,2,#A76CD4
18,19,L,LH_Vis_19,Visual,cortex,-24,-96,6,#A76CD4
19,20,L,LH_Vis_20,Visual,cortex,-14,-48,4,#A76CD4
20,21,L,LH_Vis_21,Visual,cortex,-8,-74,10,#A76CD4
21,22,L,LH_Vis_22,Visual,cortex,-18,-64,6,#A76CD4
22,23,L,LH_Vis_23,Visual,cortex,-40,-84,14,#A76CD4
23,24,L,LH_Vis_24,Visual,cortex,-10,-96,18,#A76CD4
24,25,L,LH_Vis_25,Visual,cortex,-2,-84,24,#A76CD4
25,26,L,LH_Vis_26,Visual,cortex,-12,-72,20,#A76CD4
26,27,L,LH_Vis_27,Visual,cortex,-26,-84,22,#A76CD4
27,28,L,LH_Vis_28,Visual,cortex,-32,-84,26,#A76CD4
28,29,L,LH_Vis_29,Visual,cortex,-16,-88,34,#A76CD4
29,30,L,LH_Vis_30,Visual,cortex,-12,-82,36,#A76CD4
30,31,L,LH_Vis_31,Visual,cortex,-22,-78,44,#A76CD4
31,32,L,LH_SomMot_1,SomMot,cortex,-50,-10,0,#6C92D4
32,33,L,LH_SomMot_2,SomMot,cortex,-56,-22,8,#6C92D4
33,34,L,LH_SomMot_3,SomMot,cortex,-36,-24,10,#6C92D4
34,35,L,LH_SomMot_4,SomMot,cortex,-38,-8,12,#6C92D4
35,36,L,LH_SomMot_5,SomMot,cortex,-36,-26,18,#6C92D4
36,37,L,LH_SomMot_6,SomMot,cortex,-58,-36,16,#6C92D4
37,38,L,LH_SomMot_7,SomMot,cortex,-40,-36,14,#6C92D4
38,39,L,LH_SomMot_8,SomMot,cortex,-48,-12,14,#6C92D4
39,40,L,LH_SomMot_9,SomMot,cortex,-60,-2,10,#6C92D4
40,41,L,LH_SomMot_10,SomMot,cortex,-48,-24,18,#6C92D4
41,42,L,LH_SomMot_11,SomMot,cortex,-62,-18,20,#6C92D4
42,43,L,LH_SomMot_12,SomMot,cortex,-60,-2,24,#6C92D4
43,44,L,LH_SomMot_13,SomMot,cortex,-62,-10,32,#6C92D4
44,45,L,LH_SomMot_14,SomMot,cortex,-54,-8,30,#6C92D4
45,46,L,LH_SomMot_15,SomMot,cortex,-54,-20,40,#6C92D4
46,47,L,LH_SomMot_16,SomMot,cortex,-52,-6,44,#6C92D4
47,48,L,LH_SomMot_17,SomMot,cortex,-48,-16,40,#6C92D4
48,49,L,LH_SomMot_18,SomMot,cortex,-8,-16,48,#6C92D4
49,50,L,LH_SomMot_19,SomMot,cortex,-40,-14,48,#6C92D4
50,51,L,LH_SomMot_20,SomMot,cortex,-48,-18,54,#6C92D4
51,52,L,LH_SomMot_21,SomMot,cortex,-48,-30,58,#6C92D4
52,53,L,LH_SomMot_22,SomMot,cortex,-38,-24,52,#6C92D4
