,ID,Label,Hemi,x,y,z,n_vertices
0,1,bankssts,L,-54.185207,-44.895996,4.5053334,126
1,2,caudalanteriorcingulate,L,-4.877174,20.05907,28.955652,67
2,3,caudalmiddlefrontal,L,-35.467937,10.740153,44.30328,232
3,5,cuneus,L,-6.9360743,-79.697464,18.187737,102
4,6,entorhinal,L,-23.182478,-8.118869,-35.05008,48
5,7,fusiform,L,-35.09373,-43.73141,-21.861961,308
6,8,inferiorparietal,L,-40.983658,-67.8226,28.227238,484
7,9,inferiortemporal,L,-49.71935,-34.77666,-25.221996,271
8,10,isthmuscingulate,L,-6.3494954,-47.40175,17.083067,123
9,11,lateraloccipital,L,-30.050333,-88.5267,-1.4491873,394
10,12,lateralorbitofrontal,L,-25.016184,28.42034,-16.861004,255
11,13,lingual,L,-14.441493,-67.40418,-5.0436525,258
12,14,medialorbitofrontal,L,-5.500005,36.75541,-18.030916,147
13,15,middletemporal,L,-57.77042,-30.284533,-13.245435,294
14,16,parahippocampal,L,-23.830917,-33.149433,-19.042658,107
15,17,paracentral,L,-7.7646327,-29.610731,56.293636,208
16,18,parsopercularis,L,-45.72079,14.710533,12.048421,181
17,19,parsorbitalis,L,-42.580738,38.23469,-14.094704,56
18,20,parstriangularis,L,-44.23395,30.641178,0.84280914,123
19,21,pericalcarine,L,-11.63407,-81.67681,5.322247,115
20,22,postcentral,L,-43.28237,-23.650776,44.10682,587
21,23,posteriorcingulate,L,-5.6922994,-18.223623,38.376896,180
22,24,precentral,L,-38.841072,-10.362369,42.865746,675
23,25,precuneus,L,-9.739091,-58.141083,36.867435,460
24,26,rostralanteriorcingulate,L,-4.2831993,37.12692,-0.62111586,76
25,27,rostralmiddlefrontal,L,-33.1218,42.78342,16.847935,472
26,28,superiorfrontal,L,-11.383719,24.190989,43.25544,759
27,29,superiorparietal,L,-23.42629,-61.90891,47.690998,651
28,30,superiortemporal,L,-53.393517,-15.22759,-4.2016716,442
29,31,supramarginal,L,-52.097412,-39.13667,31.419905,547
30,32,frontalpole,L,-6.5907345,64.46088,-11.948172,18
31,33,temporalpole,L,-29.426752,12.738313,-38.603085,41
32,34,transversetemporal,L,-44.727703,-22.416477,6.879476,68
33,35,insula,L,-37.28456,-3.9927907,2.141777,329
34,1,bankssts,R,52.984074,-40.483116,5.486549,128
35,2,caudalanteriorcingulate,R,5.0790076,22.054285,28.000154,79
36,3,caudalmiddlefrontal,R,35.522633,12.378987,44.405293,223
37,5,cuneus,R,7.1627903,-80.07508,19.12022,104
38,6,entorhinal,R,22.691267,-6.428661,-34.553627,42
39,7,fusiform,R,35.337307,-43.811653,-21.440857,297
40,8,inferiorparietal,R,44.340782,-61.79468,28.62439,611
41,9,inferiortemporal,R,50.737633,-32.041134,-26.099136,265
42,10,isthmuscingulate,R,7.030424,-46.14945,16.822548,114
43,11,lateraloccipital,R,30.940907,-88.228355,-0.27364674,369
44,12,lateralorbitofrontal,R,24.18233,29.45313,-17.955149,267
45,13,lingual,R,14.715664,-66.99982,-4.3127246,248
46,14,medialorbitofrontal,R,5.812546,37.283817,-16.570148,161
47,15,middletemporal,R,58.246105,-28.198757,-13.391285,318
48,16,parahippocampal,R,25.319508,-33.16003,-18.021996,97
49,17,paracentral,R,7.829207,-28.567947,55.701622,234
50,18,parsopercularis,R,46.77336,14.108592,13.190444,150
51,19,parsorbitalis,R,44.51961,38.61332,-12.161228,55
52,20,parstriangularis,R,46.552673,29.390371,3.3442104,142
53,21,pericalcarine,R,12.495676,-79.934975,6.174338,109
54,22,postcentral,R,42.30381,-22.450111,44.563034,568
55,23,posteriorcingulate,R,5.682509,-17.374666,38.96888,159
56,24,precentral,R,37.976643,-9.7578125,44.58501,661
57,25,precuneus,R,9.628592,-57.30413,37.63689,498
58,26,rostralanteriorcingulate,R,5.374484,36.934612,1.5741167,57
59,27,rostralmiddlefrontal,R,33.984135,42.86364,17.494469,505
60,28,superiorfrontal,R,12.147717,25.664429,43.101665,746
61,29,superiorparietal,R,23.042564,-60.475147,49.74843,641
62,30,superiortemporal,R,54.297157,-12.133455,-5.251397,429
63,31,supramarginal,R,52.110355,-33.164837,31.1642,505
64,32,frontalpole,R,8.256921,64.234116,-11.945261,25
65,33,temporalpole,R,31.045736,13.463677,-35.431637,45
66,34,transversetemporal,R,44.541424,-20.872255,8.5331955,48
67,35,insula,R,38.27509,-3.081229,1.6572021,322
